	PD_whole_tree
TigerShark.LI2.Feces.1.1	9.83979
TigerShark.AD2.Feces.1.1	16.05214
TigerShark.BD2.Feces.1.1	6.14534
TigerShark.NS2.Feces.1.1	17.23987
TigerShark.SV2.Feces.1.1	9.82608
Wasp.0.Gut.1.1	74.0276
WesternChimpanzee.BOptv58.Feces.1.1	92.87267
WesternChimpanzee.CCptv01.Feces.1.1	273.82175
WesternChimpanzee.NBptv41.Feces.1.1	115.97307
Whale.AK1.Feces.1.1	192.61588
Whale.AK2.Feces.1.1	93.76963
Whale.AK3.Feces.1.1	134.22607
Whale.BP2.Feces.1.1	109.18205
Whale.EG3.Feces.1.1	241.14113
Whale.EG4.Feces.1.1	256.08592
Whale.EG5.Feces.1.1	241.24148
